id,created_at,updated_at,deleted_at,title,selected_type,file
782,2019-07-05 01:23:53.929471+03,2019-07-05 01:23:53.929471+03,,,,"{""FileName"":""Grapple Assembly.gif"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/782/file.gif"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
783,2019-07-05 01:42:33.05633+03,2019-07-05 01:42:33.05633+03,,,,"{""FileName"":""fusebox1.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/783/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
784,2019-07-05 01:42:46.759485+03,2019-07-05 01:42:46.759485+03,,,,"{""FileName"":""fuse box guard.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/784/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
785,2019-07-05 01:44:31.705771+03,2019-07-05 01:44:31.705771+03,,,,"{""FileName"":""fuses.gif"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/785/file.gif"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
786,2019-07-05 01:46:56.770509+03,2019-07-05 01:46:56.770509+03,,,,"{""FileName"":""fusebox2.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/786/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
787,2019-07-05 01:51:37.56148+03,2019-07-05 01:51:37.56148+03,,,,"{""FileName"":""box.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/787/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
788,2019-07-05 02:06:33.553157+03,2019-07-05 02:06:33.553157+03,,,,"{""FileName"":""2wire2.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/788/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
789,2019-07-05 21:43:16.140101+03,2019-07-05 21:43:16.140101+03,,,,"{""FileName"":""6pin.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/789/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
790,2019-07-05 21:50:01.169382+03,2019-07-05 21:50:01.169382+03,,,,"{""FileName"":""6pin.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/790/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
791,2019-07-05 23:16:33.778454+03,2019-07-05 23:16:33.778454+03,,,,"{""FileName"":""2wire.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/791/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
792,2019-07-06 03:46:11.260062+03,2019-07-06 03:46:11.260062+03,,,,"{""FileName"":""bolt.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/792/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
793,2019-07-11 18:48:07.103681+03,2019-07-11 18:48:07.103681+03,,,,"{""FileName"":""2wire.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/793/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
794,2019-07-11 23:46:13.294741+03,2019-07-11 23:46:13.294741+03,,,,"{""FileName"":""fuse.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/794/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
795,2019-07-11 23:47:52.547859+03,2019-07-11 23:47:52.547859+03,,,,"{""FileName"":""fusebox11.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/795/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
796,2019-07-12 01:46:45.259538+03,2019-07-12 01:46:45.259538+03,,,,"{""FileName"":""neuron.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/796/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
797,2019-07-13 01:46:06.12881+03,2019-07-13 01:46:06.12881+03,,,,"{""FileName"":""encoder1.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/797/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
